site,label,label 2,label 3
thestatelyharold.com,satire,,
thetimesoftheworld.com,satire,,
theunrealtimes.com,satire,,
theuspatriot.com,satire,fake,
thevalleyreport.com,satire,,
topekasnews.com,satire,,
unconfirmedsources.com,satire,,
us.blastingnews.com,satire,unreliable,
waterfordwhispersnews.com,satire,,
WilliamBanzai7.blogspot.com,satire,,
winkprogress.com,satire,,
witscience.org,satire,,
wonkie.com,satire,,
worldnewsdailyreport.com,satire,,
wundergroundmusic.com,satire,,
www.rt.com,state,,
aanirfan.blogspot.co.uk,unreliable,,
Acting-Man.com,unreliable,conspiracy,
ahtribune.com,unreliable,bias,
allnewspipeline.com,unreliable,conspiracy,
anonews.co,unreliable,,
anonhq.com,unreliable,,
anonnews.co,unreliable,,
asia-pacificresearch.com,unreliable,satire,
AutomaticEarth.com,unreliable,,
awm.com,unreliable,bias,clickbait
blackagendareport.com,unreliable,,
Boilingfrogspost.com,unreliable,,
breakpoint.org,unreliable,,
bvanews.com,unreliable,bias,fake
cnnnext.com,unreliable,,
CNSNews.com,unreliable,bias,
coasttocoastam.com,unreliable,,
conservativeoutfitters.com,unreliable,clickbait,
DaveJanda.com,unreliable,,
dcleaks.com,unreliable,,
FinancialSurvivalNetwork.com,unreliable,bias,
guccifer2.wordpress.com,unreliable,,
ifyouonlynews.com,unreliable,satire,
jewsnews.co.il,unreliable,bias,fake
libertynews.com,unreliable,bias,
Mad-Yet.blogspot.com,unreliable,,
madpatriots.com,unreliable,clickbait,
madworldnews.com,unreliable,hate,
madworldnews.com,unreliable,clickbait,
morningledger.com,unreliable,conspiracy,
morningnewsusa.com,unreliable,,
nevo.news,unreliable,bias,
newcenturytimes.com,unreliable,bias,
Newsmax.com,unreliable,bias,
northcrane.com,unreliable,,
NutritionalAnarchy.com,unreliable,,
politicalears.com,unreliable,clickbait,
politicsintheusa.com,unreliable,bias,
powerpoliticians.com,unreliable,,
shareblue.com,unreliable,political,bias
SovereignMan.com,unreliable,,
theantimedia.org,unreliable,bias,conspiracy
theduran.com,unreliable,,
thefreethoughtproject.com,unreliable,conspiracy,clickbait
thegoldandoilguy.com/articles,unreliable,,
theinformedamerican.net,unreliable,,
thelibertymill.com,unreliable,bias,conspiracy
usdefensewatch.com,unreliable,,
usviewer.com,unreliable,fake, 
veteransnewsnow.com,unreliable,political,
WallStreetOnParade.com,unreliable,,
weaselzippers.us,unreliable,bias,
whowhatwhy.com,unreliable,,
wikileaks.com,unreliable, , 
wikileaks.org,unreliable, ,
WolfStreet.com,unreliable,,
